id,track,topic,problem,inputType,variables,answer,acceptedFormats,solution1,solution2,solution3,solution4,solution5,hint1,hint2,date
51,advanced,Vectors,"Find the angle in degrees between vectors a = (1, 1, 0) and b = (1, 0, 1).",single,,60°,60° | 60 | π/3,Use the dot product formula: cos θ = (a · b) / (|a| |b|),Compute a · b = (1)(1) + (1)(0) + (0)(1) = 1,Compute |a| = √(1 + 1 + 0) = √2 and |b| = √(1 + 0 + 1) = √2,cos θ = 1 / (√2 · √2) = 1/2,θ = cos⁻¹(1/2) = 60°,Use cos θ = (a · b) / (|a||b|) — compute the dot product and both magnitudes,"You'll get cos θ = 1/2, which corresponds to a standard angle",
52,advanced,Vectors,"Given a = (1, 2, 3) and b = (4, 5, 6), find |a × b|.",single,,3√6,3√6 | 3*sqrt(6) | √54 | sqrt(54) | 7.348,"Compute a × b: i(12 - 15) - j(6 - 12) + k(5 - 8) = (-3, 6, -3)","Verify: i: (2)(6)-(3)(5)=-3, j: -[(1)(6)-(3)(4)]=6, k: (1)(5)-(2)(4)=-3",Find the magnitude: |a × b| = √(9 + 36 + 9) = √54,Simplify: √54 = √(9 × 6) = 3√6,Therefore |a × b| = 3√6,"First compute the cross product vector, then find its magnitude","After computing a × b = (-3, 6, -3), evaluate √(9 + 36 + 9) and simplify the surd",
53,advanced,Vectors,"Find the volume of the parallelepiped with edges a = (1, 1, 0), b = (0, 1, 1), c = (1, 0, 1).",single,,2,2,Volume = |a · (b × c)| — compute the scalar triple product,"First find b × c: i(1-0) - j(0-1) + k(0-1) = (1, 1, -1)",Then dot with a: a · (b × c) = (1)(1) + (1)(1) + (0)(-1) = 2,Volume = |2| = 2,The scalar triple product directly gives the parallelepiped volume,"Volume = |a · (b × c)| — compute the cross product first, then dot it with a","b × c = (1, 1, -1); then take the dot product with a = (1, 1, 0)",
54,advanced,Vectors,"Find the distance from point P = (1, 2, 3) to the plane 2x + y - 2z = 5.",single,,7/3,7/3 | 2.333 | 2.33,Use the point-to-plane distance formula: d = |ax₀ + by₀ + cz₀ - d| / √(a² + b² + c²),Substitute: |2(1) + 1(2) + (-2)(3) - 5| / √(4 + 1 + 4),Numerator: |2 + 2 - 6 - 5| = |-7| = 7,Denominator: √9 = 3,Distance = 7/3,"Use d = |ax₀ + by₀ + cz₀ - d| / √(a² + b² + c²) where (a, b, c) is the plane's normal","Plug in x₀=1, y₀=2, z₀=3 — the numerator is |2 + 2 - 6 - 5|",
55,advanced,Complex Numbers,Expand and simplify: (2 + 3i)(1 - 2i).,single,,8 - i,8 - i | 8-i | 8 - 1i,Expand using FOIL: (2)(1) + (2)(-2i) + (3i)(1) + (3i)(-2i),= 2 - 4i + 3i - 6i²,"Recall i² = -1, so -6i² = +6",Combine real parts: 2 + 6 = 8,Combine imaginary parts: -4i + 3i = -i. Answer: 8 - i,"Expand using FOIL, then substitute i² = -1",The -6i² term becomes +6 since i² = -1 — collect real and imaginary parts separately,
56,advanced,Complex Numbers,Express z = √3 + i in polar form r(cos θ + i·sin θ).,expression,z,2(cos(π/6) + i·sin(π/6)),2(cos(π/6) + i·sin(π/6)) | 2(cos(30°) + i·sin(30°)) | 2e^(iπ/6) | 2 cis(π/6),Find the modulus: r = |z| = √((√3)² + 1²) = √(3 + 1) = 2,Find the argument: θ = arctan(Im/Re) = arctan(1/√3) = π/6,Both parts are positive so z is in the first quadrant — θ = π/6 is correct,Write in polar form: z = 2(cos(π/6) + i·sin(π/6)),Verify: 2(√3/2 + i·1/2) = √3 + i ✓,"Find r = √(a² + b²) and θ = arctan(b/a), checking the quadrant",r = 2 and arctan(1/√3) is a standard angle you should recognise,
57,advanced,Complex Numbers,Use De Moivre's Theorem to evaluate (1 + i)⁸.,single,,16,16,Convert 1 + i to polar form: |1 + i| = √2 and arg(1 + i) = π/4,So 1 + i = √2 · (cos(π/4) + i·sin(π/4)),Apply De Moivre's: (1 + i)⁸ = (√2)⁸ · (cos(8·π/4) + i·sin(8·π/4)),(√2)⁸ = (2^(1/2))⁸ = 2⁴ = 16 and cos(2π) + i·sin(2π) = 1,Therefore (1 + i)⁸ = 16,"Convert 1 + i to polar form first, then apply De Moivre's: (r·cisθ)ⁿ = rⁿ·cis(nθ)","|1 + i| = √2 and arg = π/4; raising to the 8th power makes the angle 2π, which gives 1",
58,advanced,Complex Numbers,Find all cube roots of −8.,multiple,z,"-2, 1 + i√3, 1 - i√3","-2, 1 + i√3, 1 - i√3 | 1 + i√3, -2, 1 - i√3 | -2, 1+i√3, 1-i√3",Write −8 in polar form: −8 = 8(cos π + i·sin π),"Cube roots have modulus 8^(1/3) = 2 and arguments (π + 2kπ)/3 for k = 0, 1, 2",k=0: 2(cos(π/3) + i·sin(π/3)) = 2(1/2 + i√3/2) = 1 + i√3,k=1: 2(cos(π) + i·sin(π)) = −2,k=2: 2(cos(5π/3) + i·sin(5π/3)) = 2(1/2 − i√3/2) = 1 − i√3,"Write −8 in polar form, then use the nth root formula: modulus = r^(1/n), arguments spaced 2π/n apart","−8 = 8·e^(iπ); the three cube roots have arguments π/3, π, and 5π/3",
59,advanced,Complex Numbers,Solve over ℂ: z² + 2z + 2 = 0.,multiple,z,"z = -1 + i, -1 - i","z = -1 + i, -1 - i | -1 + i, -1 - i | z = -1 ± i | -1 ± i",Apply the quadratic formula: z = (−b ± √(b² − 4ac)) / 2a,"Substitute a=1, b=2, c=2: z = (−2 ± √(4 − 8)) / 2",= (−2 ± √(−4)) / 2,= (−2 ± 2i) / 2,z = −1 + i  or  z = −1 − i,The discriminant b² − 4ac will be negative — that's expected for complex roots,"b² − 4ac = 4 − 8 = −4, so √(−4) = 2i",
60,advanced,Complex Numbers,Find the two square roots of i.,multiple,z,"(1 + i)/√2, -(1 + i)/√2","(1+i)/√2, -(1+i)/√2 | (1+i)/√2 and -(1+i)/√2 | √2/2 + i√2/2, -√2/2 - i√2/2",Write i in polar form: i = 1·(cos(π/2) + i·sin(π/2)),"Square roots have modulus √1 = 1 and arguments (π/2 + 2kπ)/2 for k = 0, 1",k=0: cos(π/4) + i·sin(π/4) = (1 + i)/√2,k=1: cos(5π/4) + i·sin(5π/4) = (−1 − i)/√2 = −(1 + i)/√2,Verify: ((1+i)/√2)² = (1 + 2i − 1)/2 = 2i/2 = i ✓,Write i in polar form r·e^(iθ) and use the root formula with n = 2,i = e^(iπ/2); the two square roots have arguments π/4 and π/4 + π = 5π/4,
61,hard,Abstract Algebra,"Find the order of the element 12 in the group (Z₁₈, +).",single,,3,3 | order = 3,"The order of element a in (Zₙ, +) is the smallest positive integer k such that k·a ≡ 0 (mod n)","Use the formula: ord(a) = n / gcd(a, n)","Compute gcd(12, 18) using Euclidean algorithm: gcd(12, 18) = gcd(12, 6) = gcd(6, 0) = 6",ord(12) = 18 / 6 = 3,"Verify: 12 ≡ 12, 24 ≡ 6, 36 ≡ 0 (mod 18) ✓ — it takes exactly 3 steps","The order of a in (Zₙ, +) is the smallest k > 0 with k·a ≡ 0 (mod n)","Use the formula ord(a) = n / gcd(a, n)",
62,hard,Abstract Algebra,How many distinct subgroups does the cyclic group Z₁₂ have?,single,,6,6,"By the fundamental theorem of cyclic groups, every subgroup of Zₙ is cyclic and there is exactly one subgroup of each order d where d | n","Find all divisors of 12: 1, 2, 3, 4, 6, 12","There are 6 divisors, so there are 6 distinct subgroups","Explicitly: {0}, {0,6}, {0,4,8}, {0,3,6,9}, {0,2,4,6,8,10}, Z₁₂","Each is generated by 12/d: generators 12, 6, 4, 3, 2, 1 respectively","For cyclic groups, subgroups correspond exactly to divisors of the group order",Count the divisors of 12: each gives one unique subgroup,
63,hard,Abstract Algebra,How many elements of order 4 are there in the group Z₄ × Z₂?,single,,4,4,"The order of (a, b) in Z₄ × Z₂ is lcm(ord(a), ord(b))","We need lcm(ord(a), ord(b)) = 4, which requires ord(a) = 4 (since max order in Z₂ is 2)","Elements of Z₄ with order 4: {1, 3} — these are the generators","Elements of Z₂: {0, 1} — both give lcm(4, 1)=4 and lcm(4, 2)=4","Total: 2 choices for a × 2 choices for b = 4 elements: (1,0), (1,1), (3,0), (3,1)","Order of (a,b) in a direct product is lcm(ord(a), ord(b))","For lcm to equal 4, you need ord(a) = 4; find which elements of Z₄ have order 4",
64,hard,Abstract Algebra,Compute Euler's totient function φ(60).,single,,16,16 | φ(60) = 16,Factorise 60 into prime powers: 60 = 2² × 3 × 5,Apply the multiplicative property: φ(60) = φ(2²) × φ(3) × φ(5),"φ(2²) = 2²(1 - 1/2) = 2, φ(3) = 3(1 - 1/3) = 2, φ(5) = 5(1 - 1/5) = 4",Multiply: φ(60) = 2 × 2 × 4 = 16,"This means 16 integers in {1,...,60} are coprime to 60","Factor 60 into prime powers, then use φ(pⁿ) = pⁿ - pⁿ⁻¹","φ is multiplicative: φ(mn) = φ(m)φ(n) when gcd(m,n) = 1",
65,hard,Abstract Algebra,Use the Chinese Remainder Theorem to find the smallest positive integer x satisfying: x ≡ 3 (mod 5) and x ≡ 2 (mod 7).,single,x,23,23 | x = 23,From the first congruence: x = 5k + 3 for some integer k,"Substitute into the second: 5k + 3 ≡ 2 (mod 7), so 5k ≡ -1 ≡ 6 (mod 7)","Find 5⁻¹ (mod 7): since 5 × 3 = 15 ≡ 1 (mod 7), we have 5⁻¹ ≡ 3 (mod 7)","Multiply: k ≡ 3 × 6 = 18 ≡ 4 (mod 7), so k = 7j + 4",Then x = 5(7j + 4) + 3 = 35j + 23. Smallest positive solution: x = 23,Express x from the first congruence and substitute into the second to find the unknown coefficient,You'll need to find the modular inverse of 5 (mod 7) — find k such that 5k ≡ 1 (mod 7),
66,hard,Abstract Algebra,How many distinct group homomorphisms are there from Z₄ to Z₆?,single,,2,2,"A homomorphism f: Z₄ → Z₆ is determined entirely by f(1), since 1 generates Z₄","The order of f(1) in Z₆ must divide the order of 1 in Z₄, which is 4","Find elements of Z₆ whose order divides 4: orders in Z₆ are: ord(0)=1, ord(1)=6, ord(2)=3, ord(3)=2, ord(4)=3, ord(5)=6","Only ord(0)=1 and ord(3)=2 divide 4, so f(1) ∈ {0, 3}",This gives exactly 2 homomorphisms: the zero map and f(k) = 3k (mod 6),Any homomorphism from Z₄ is determined by the image of the generator 1,The image of 1 must have order in Z₆ that divides 4 — check which elements of Z₆ satisfy this,
67,hard,Real Analysis,Evaluate: lim_{x→0} (eˣ - 1 - x) / x²,single,,1/2,1/2 | 0.5,"This is a 0/0 indeterminate form as x → 0, so L'Hôpital's Rule applies",First application: lim (eˣ - 1) / (2x) — still 0/0,Second application: lim eˣ / 2 = 1/2,"Alternatively, use the Maclaurin series: eˣ = 1 + x + x²/2 + x³/6 + ...",So (eˣ - 1 - x)/x² = (x²/2 + x³/6 + ...)/x² → 1/2 as x → 0,"The form is 0/0 — apply L'Hôpital's Rule twice, or use the Maclaurin series for eˣ",The Maclaurin series eˣ = 1 + x + x²/2 + ... makes the limit immediate,
68,hard,Real Analysis,Find the exact sum of the series: ∑_{n=1}^∞ n² / 3ⁿ,single,,3/2,3/2 | 1.5,Start from the geometric series ∑ xⁿ = 1/(1-x) for |x| < 1,"Differentiate to get ∑ nxⁿ⁻¹ = 1/(1-x)², then multiply by x: ∑ nxⁿ = x/(1-x)²",Differentiate again: ∑ n²xⁿ⁻¹ = d/dx[x/(1-x)²] = (1+x)/(1-x)³,Multiply by x: ∑ n²xⁿ = x(1+x)/(1-x)³,Substitute x = 1/3: (1/3)(4/3)/(2/3)³ = (4/9)/(8/27) = 4×27/(9×8) = 3/2,Differentiate the geometric series formula repeatedly to build up powers of n,The formula ∑ n²xⁿ = x(1+x)/(1-x)³ comes from differentiating ∑ nxⁿ = x/(1-x)²,
69,hard,Real Analysis,Evaluate: lim_{x→0⁺} xˣ,single,,1,1 | 1.0,Write xˣ = e^(x·ln x) and focus on the exponent x·ln x as x → 0⁺,"Rewrite as lim x·ln x = lim (ln x)/(1/x), which is -∞/+∞ — apply L'Hôpital's Rule",L'Hôpital: lim (1/x)/(-1/x²) = lim(-x) = 0,Therefore lim_{x→0⁺} x·ln x = 0,So lim xˣ = e^0 = 1,Rewrite xˣ = e^(x ln x) and find the limit of the exponent separately,The exponent x·ln x = (ln x)/(1/x) is ∞/∞ — apply L'Hôpital's Rule,
70,hard,Real Analysis,Find the exact sum: ∑_{n=1}^∞ 1 / (n(n + 2)),single,,3/4,3/4 | 0.75,Apply partial fractions: 1/(n(n+2)) = (1/2)(1/n - 1/(n+2)),The series becomes: (1/2) ∑_{n=1}^∞ (1/n - 1/(n+2)) — a telescoping series,Write out terms: (1/2)[(1 - 1/3) + (1/2 - 1/4) + (1/3 - 1/5) + (1/4 - 1/6) + ...],"After cancellation, only the first two terms from each 'offset' survive: 1/1 and 1/2",Sum = (1/2)(1 + 1/2) = (1/2)(3/2) = 3/4,Use partial fractions to split 1/(n(n+2)) into two simpler fractions,The resulting series telescopes with a lag of 2 — the surviving terms are 1 and 1/2,
71,hard,Real Analysis,Find the exact sum: ∑_{n=0}^∞ (n + 1)(1/2)ⁿ,single,,4,4,Recall the geometric series: ∑_{n=0}^∞ xⁿ = 1/(1-x) for |x| < 1,Differentiate: ∑_{n=1}^∞ nxⁿ⁻¹ = 1/(1-x)²,This can be rewritten as ∑_{n=0}^∞ (n+1)xⁿ = 1/(1-x)²,Substitute x = 1/2: ∑ (n+1)(1/2)ⁿ = 1/(1 - 1/2)² = 1/(1/4),Sum = 4,Differentiate the geometric series formula ∑ xⁿ = 1/(1-x) to get a formula for ∑ (n+1)xⁿ,"After differentiating ∑ xⁿ, you get ∑ (n+1)xⁿ = 1/(1-x)² — substitute x = 1/2",
72,hard,Real Analysis,Evaluate: lim_{n→∞} (1/n) ∑_{k=1}^n (k/n)²,single,,1/3,1/3 | 0.333 | 0.3333,"Recognise this as a Riemann sum for a definite integral on [0, 1]",The sum (1/n)∑_{k=1}^n (k/n)² has the form (1/n)∑ f(k/n) with f(x) = x²,This is the right Riemann sum for ∫₀^1 x² dx with n equal subintervals,"As n → ∞, the Riemann sum converges to the integral: ∫₀^1 x² dx",∫₀^1 x² dx = [x³/3]₀^1 = 1/3,"Recognise the structure: (1/n)∑ f(k/n) is a Riemann sum on [0, 1]","With f(x) = x², the limit equals ∫₀^1 x² dx",
73,hard,Linear Algebra,"Find all eigenvalues of A = [[1, 0, 2], [0, 1, 0], [2, 0, 1]].",multiple,λ,"λ = -1, 1, 3","λ = -1, 1, 3 | -1, 1, 3 | λ = 1, -1, 3","Compute det(A - λI) = det([[1-λ, 0, 2], [0, 1-λ, 0], [2, 0, 1-λ]])","Expand along the middle row (two zeros): = (1-λ) · det([[1-λ, 2], [2, 1-λ]])",Inner determinant: (1-λ)² - 4,Characteristic polynomial: (1-λ)[(1-λ)² - 4] = (1-λ)(1-λ-2)(1-λ+2) = (1-λ)(-1-λ)(3-λ),"Setting equal to zero: λ = 1, λ = -1, λ = 3",Expand the characteristic polynomial det(A - λI) = 0 along a row with zeros,The middle row has two zeros — expanding along it leaves one 1×1 and one 2×2 determinant,
74,hard,Linear Algebra,"Find the nullity of A = [[1, 2, 3, 4], [2, 4, 6, 8], [1, 2, 4, 6]].",single,,2,2 | nullity = 2,"Row reduce A: R₂ → R₂ - 2R₁ gives [0, 0, 0, 0]; R₃ → R₃ - R₁ gives [0, 0, 1, 2]","RREF is [[1, 2, 3, 4], [0, 0, 1, 2], [0, 0, 0, 0]]",The rank of A (number of non-zero rows in RREF) = 2,By the Rank-Nullity Theorem: nullity = number of columns - rank = 4 - 2 = 2,"The free variables are x₂ and x₄, confirming the null space is 2-dimensional","Row reduce to find the rank, then apply the Rank-Nullity Theorem","After row reduction, count the pivot columns (rank) and subtract from the total column count",
75,hard,Linear Algebra,"Find the eigenvalue(s) of A = [[0, 1, 0], [0, 0, 1], [1, -3, 3]] and state the algebraic multiplicity.",single,λ,"λ = 1, multiplicity 3","λ = 1, multiplicity 3 | λ = 1 (multiplicity 3) | 1, multiplicity 3",Compute det(A - λI) by expanding along the first column,"det([[-λ,1,0],[0,-λ,1],[1,-3,3-λ]]) = -λ((-λ)(3-λ)+3) + 1·(1·1)",= -λ(-3λ+λ²+3) + 1 = -λ(λ²-3λ+3) + 1 = -λ³+3λ²-3λ+1,= -(λ³-3λ²+3λ-1) = -(λ-1)³,"So λ = 1 is the only eigenvalue, with algebraic multiplicity 3",This is the companion matrix of a polynomial — compute det(A - λI) directly,The characteristic polynomial factors as -(λ-1)³; expand carefully to see this,
76,hard,Linear Algebra,"Find the dimension of the null space of A = [[1, 1, 1], [1, 2, 3], [2, 3, 4]].",single,,1,1 | dim = 1,"Row reduce A: R₂ → R₂ - R₁ = [0, 1, 2]; R₃ → R₃ - 2R₁ = [0, 1, 2]","R₃ → R₃ - R₂ = [0, 0, 0]","RREF is [[1, 0, -1], [0, 1, 2], [0, 0, 0]] (after back-substitution)",Rank = 2 (two pivot columns); by Rank-Nullity: nullity = 3 - 2 = 1,"The null space is spanned by (1, -2, 1)ᵀ — one free variable x₃","Row reduce to find the rank, then use Rank-Nullity: nullity = n - rank","After row reduction you'll find exactly one free variable, confirming nullity = 1",
77,hard,Linear Algebra,"Compute det([[1, 2, 3], [4, 5, 6], [7, 8, 9]]).",single,,0,0,"Expand along the first row: 1·det([[5,6],[8,9]]) - 2·det([[4,6],[7,9]]) + 3·det([[4,5],[7,8]])",= 1(45-48) - 2(36-42) + 3(32-35),= 1(-3) - 2(-6) + 3(-3),= -3 + 12 - 9 = 0,"Note: row 3 = row 1 + row 2 + (row 3 - row 1 - row 2)... more simply, R₃ - 2R₂ + R₁ = 0, so the rows are linearly dependent","Expand along the first row using cofactors, or notice a linear dependence between rows","Observe that R₂ - R₁ = R₃ - R₂ = (3, 3, 3), meaning the rows form an arithmetic progression — they are linearly dependent",
78,hard,Linear Algebra,A 2×2 matrix A has trace 5 and determinant 6. Find the eigenvalues of A.,multiple,λ,"λ = 2, 3","λ = 2, 3 | 2, 3 | λ = 3, 2",The characteristic polynomial of a 2×2 matrix is λ² - tr(A)·λ + det(A) = 0,Substitute: λ² - 5λ + 6 = 0,Factor: (λ - 2)(λ - 3) = 0,Eigenvalues: λ = 2 and λ = 3,Verify: sum of eigenvalues = 2+3 = 5 = tr(A) ✓; product = 2×3 = 6 = det(A) ✓,"For a 2×2 matrix, the characteristic polynomial is λ² - tr(A)·λ + det(A) = 0","Substitute trace = 5 and det = 6 to get λ² - 5λ + 6 = 0, then factor",
79,hard,Polynomial Theory,Solve: x⁴ - 5x² + 4 = 0,multiple,x,"x = -2, -1, 1, 2","x = -2, -1, 1, 2 | -2, -1, 1, 2 | x = ±1, ±2 | ±1, ±2",Recognise this as a biquadratic — substitute u = x²,The equation becomes: u² - 5u + 4 = 0,"Factor: (u - 1)(u - 4) = 0, giving u = 1 or u = 4",Reverse the substitution: x² = 1 gives x = ±1; x² = 4 gives x = ±2,"Four solutions: x = -2, -1, 1, 2",Substitute u = x² to convert this into a quadratic equation in u,"After solving for u, remember each positive value of u gives two values of x",
80,hard,Polynomial Theory,Find all real roots of: x³ + 2x² - 5x - 6 = 0,multiple,x,"x = -3, -1, 2","x = -3, -1, 2 | -3, -1, 2 | x = 2, -1, -3","By the Rational Root Theorem, possible rational roots are: ±1, ±2, ±3, ±6",Test x = 2: 8 + 8 - 10 - 6 = 0 ✓ — so (x - 2) is a factor,Divide by (x - 2) using synthetic division: x³ + 2x² - 5x - 6 = (x - 2)(x² + 4x + 3),Factor the quadratic: x² + 4x + 3 = (x + 1)(x + 3),"Solutions: x = 2, x = -1, x = -3","Apply the Rational Root Theorem to find a rational root, then factor","Test x = 2; after factoring out (x - 2), the remaining quadratic factors easily",
81,hard,Polynomial Theory,Find the roots (and multiplicities) of: x⁴ - 8x³ + 24x² - 32x + 16 = 0,single,x,"x = 2, multiplicity 4","x = 2, multiplicity 4 | x = 2 (multiplicity 4) | x = 2","Recognise the pattern: coefficients 1, -8, 24, -32, 16 match the binomial expansion of (x - 2)⁴",Verify using the binomial theorem: (x-2)⁴ = x⁴ - 4·2x³ + 6·4x² - 4·8x + 16 = x⁴ - 8x³ + 24x² - 32x + 16 ✓,The polynomial is (x - 2)⁴,Setting (x - 2)⁴ = 0 gives x = 2 as the only root,The algebraic multiplicity is 4,Look for a perfect power pattern — check if this could be (x - a)⁴ for some integer a,"The binomial coefficients for (x - a)⁴ are 1, -4a, 6a², -4a³, a⁴ — match them to the polynomial",
82,hard,Polynomial Theory,Find all complex roots of: x⁴ - 1 = 0,multiple,x,"x = 1, -1, i, -i","x = 1, -1, i, -i | 1, -1, i, -i | x = ±1, ±i",Factor as a difference of squares: x⁴ - 1 = (x² - 1)(x² + 1),Factor further: x² - 1 = (x - 1)(x + 1),"For x² + 1 = 0: x² = -1, giving x = i and x = -i","The four roots are: x = 1, -1, i, -i","These are the 4th roots of unity, equally spaced on the unit circle at angles 0°, 90°, 180°, 270°","Factor x⁴ - 1 as a difference of squares first, then factor each piece",x² - 1 factors over ℝ; x² + 1 factors over ℂ giving the imaginary roots,
83,hard,Polynomial Theory,Find all complex roots of: x³ - 1 = 0,multiple,x,"x = 1, (-1 + i√3)/2, (-1 - i√3)/2","1, (-1+i√3)/2, (-1-i√3)/2 | x = 1, (-1+i√3)/2, (-1-i√3)/2 | 1, ω, ω²",Factor: x³ - 1 = (x - 1)(x² + x + 1),First root: x = 1,"For x² + x + 1 = 0, apply the quadratic formula: x = (-1 ± √(1-4))/2 = (-1 ± i√3)/2","The three cube roots of unity are: 1, ω = (-1+i√3)/2, ω² = (-1-i√3)/2",They satisfy |ω| = 1 and are equally spaced on the unit circle at 120° intervals,"Factor out (x - 1) first, then solve the remaining quadratic",The quadratic x² + x + 1 = 0 has complex roots — use the quadratic formula,
84,hard,Polynomial Theory,"Find all roots of x³ - 3x - 2 = 0, including multiplicities.",multiple,x,"x = -1, 2","x = -1, 2 | -1, 2 | x = -1 (double), x = 2 | -1 (multiplicity 2), 2",Test x = -1 (Rational Root Theorem): (-1)³ - 3(-1) - 2 = -1 + 3 - 2 = 0 ✓,Divide by (x + 1): x³ - 3x - 2 = (x + 1)(x² - x - 2),Factor the quadratic: x² - x - 2 = (x + 1)(x - 2),Therefore: x³ - 3x - 2 = (x + 1)²(x - 2),Roots: x = -1 (algebraic multiplicity 2) and x = 2 (multiplicity 1),"Find one rational root using the Rational Root Theorem, then divide and factor the result","After finding x = -1 as a root, the quotient is x² - x - 2, which reveals x = -1 is actually a double root",
85,hard,Advanced Calculus,"For f(x, y) = sin(xy), evaluate the mixed partial derivative ∂²f/∂x∂y at the point (0, 0).",single,,1,1,Compute the first partial derivative with respect to y: ∂f/∂y = x·cos(xy),Now differentiate with respect to x: ∂²f/∂x∂y = ∂/∂x[x·cos(xy)],Apply product rule: cos(xy) + x·(-sin(xy))·y = cos(xy) - xy·sin(xy),"Evaluate at (0, 0): cos(0·0) - (0)(0)·sin(0·0) = cos(0) - 0 = 1","The mixed partial ∂²f/∂x∂y at (0,0) equals 1","Differentiate first with respect to y, then differentiate the result with respect to x",After differentiating with respect to y you get x·cos(xy); apply the product rule for the second step,
86,hard,Advanced Calculus,"Find all critical points of f(x, y) = x³ + y³ - 3xy.",expression,x | y,"(0, 0) and (1, 1)","(0, 0) and (1, 1) | (0,0) and (1,1) | (0,0), (1,1)",Set partial derivatives to zero: ∂f/∂x = 3x² - 3y = 0 → y = x²,∂f/∂y = 3y² - 3x = 0 → x = y²,Substitute y = x² into x = y²: x = (x²)² = x⁴,"So x⁴ - x = x(x³ - 1) = 0, giving x = 0 or x = 1","x = 0 → y = 0; x = 1 → y = 1. Critical points: (0, 0) and (1, 1)",Set both partial derivatives to zero and solve the resulting system,From ∂f/∂x = 0 you get y = x²; substitute this into ∂f/∂y = 0 to find x,
87,hard,Advanced Calculus,"Use Lagrange multipliers to find the minimum value of f(x, y) = x² + y² subject to the constraint x + y = 1.",single,,1/2,1/2 | 0.5,"Set up Lagrange conditions: ∇f = λ∇g where g(x,y) = x + y - 1","∇f = (2x, 2y) and ∇g = (1, 1), so: 2x = λ and 2y = λ",Therefore x = y = λ/2. Substituting into x + y = 1 gives x = y = 1/2,"Minimum value: f(1/2, 1/2) = (1/2)² + (1/2)² = 1/4 + 1/4 = 1/2","This is the squared distance from the origin to the line x + y = 1 — geometrically, the closest point is (1/2, 1/2)",Set ∇f = λ∇g and solve simultaneously with the constraint,The Lagrange condition forces x = y; substitute into the constraint to find both values,
88,hard,Advanced Calculus,Evaluate the double integral: ∫₀^1 ∫₀^1 (x + y) dx dy,single,,1,1 | 1.0,Evaluate the inner integral first (treating y as constant): ∫₀^1 (x + y) dx,= [x²/2 + xy]₀^1 = 1/2 + y,Now evaluate the outer integral: ∫₀^1 (1/2 + y) dy,= [y/2 + y²/2]₀^1 = 1/2 + 1/2 = 1,"By symmetry, this also equals 2 ∫₀^1 ∫₀^1 x dx dy = 2 × (1/2)(1) = 1 ✓",Evaluate the inner integral first (treating the outer variable as a constant),The inner integral ∫₀^1 (x+y) dx = 1/2 + y — then integrate this with respect to y,
89,hard,Advanced Calculus,"Find the directional derivative of f(x, y) = x²y at the point (2, 3) in the direction of the unit vector u = (1/√2, 1/√2).",single,,8√2,8√2 | 8*sqrt(2) | 11.314,"Compute the gradient ∇f = (∂f/∂x, ∂f/∂y) = (2xy, x²)","Evaluate at (2, 3): ∇f(2, 3) = (2·2·3, 2²) = (12, 4)",The directional derivative is D_u f = ∇f · u,"D_u f = (12, 4) · (1/√2, 1/√2) = (12 + 4)/√2 = 16/√2",Simplify: 16/√2 = 16√2/2 = 8√2,"The directional derivative D_u f = ∇f · u — compute the gradient first, then dot with u","Evaluate ∇f = (2xy, x²) at (2, 3) to get (12, 4), then take the dot product with (1/√2, 1/√2)",
90,hard,Advanced Calculus,"Find the maximum value of f(x, y) = 3x + 4y subject to the constraint x² + y² = 25.",single,,25,25,Apply Lagrange multipliers: ∇f = λ∇g where g = x² + y² - 25,"Conditions: 3 = 2λx and 4 = 2λy, giving x = 3/(2λ) and y = 2/λ",Substitute into x² + y² = 25: 9/(4λ²) + 4/λ² = 25 → (9 + 16)/(4λ²) = 25 → λ² = 1/4 → λ = ±1/2,"For λ = 1/2: x = 3, y = 4. Maximum value: 3(3) + 4(4) = 9 + 16 = 25",Alternatively by Cauchy-Schwarz: |3x+4y| ≤ √(9+16)·√(x²+y²) = 5·5 = 25 ✓,"Use Lagrange multipliers, or apply the Cauchy-Schwarz inequality",Cauchy-Schwarz gives (3x+4y)² ≤ (3²+4²)(x²+y²) = 25·25 — equality holds at a specific point,
